split,location,scenario,scenario_type,warning_level,warning_action,rmse,mae,wet_dry_iou,false_dry_rate,false_wet_rate,relative_volume_bias_proxy,absolute_relative_volume_bias_proxy,peak_depth_underprediction_proxy,failure_drivers,user_message_key,interpretation_note
test,location1,G1135_intensity_103,measured,caution,use_with_caution_and_review_diagnostics,0.010105772224426502,0.004618382741076251,0.884897942975141,0.06693325517125868,0.0035198492421493824,0.0009481879956289335,0.0009481879956289335,0.0,low wet/dry IoU,caution_scenario_message,"Phase 49 preserves Phase 48 warning labels as conservative diagnostic screening labels; they are not calibrated probabilities, event likelihoods, or final production guarantees."
test,location1,G1135_intensity_161,measured,caution,use_with_caution_and_review_diagnostics,0.007771292212772041,0.0042810528151070075,0.8832039563521842,0.052500296947380926,0.003684473843642312,0.022360535057648595,0.022360535057648595,0.0,low wet/dry IoU,caution_scenario_message,"Phase 49 preserves Phase 48 warning labels as conservative diagnostic screening labels; they are not calibrated probabilities, event likelihoods, or final production guarantees."
test,location1,G1166_intensity_246,measured,caution,use_with_caution_and_review_diagnostics,0.009491679949558702,0.004351042676717043,0.8369107353032275,0.09436586673816866,0.003238187883626136,-0.004909137098902527,0.004909137098902527,0.0,low wet/dry IoU,caution_scenario_message,"Phase 49 preserves Phase 48 warning labels as conservative diagnostic screening labels; they are not calibrated probabilities, event likelihoods, or final production guarantees."
test,location1,G1166_intensity_394,measured,caution,use_with_caution_and_review_diagnostics,0.01158688582879446,0.005649166841370364,0.9002992189220347,0.0632631607320952,0.004216310931519697,-0.01742938797059034,0.01742938797059034,0.0,high RMSE,caution_scenario_message,"Phase 49 preserves Phase 48 warning labels as conservative diagnostic screening labels; they are not calibrated probabilities, event likelihoods, or final production guarantees."
test,location1,G3501_intensity_151,measured,reliable,normal_use_with_standard_monitoring,0.008135115569305695,0.0046243356773629785,0.9017003806326147,0.04743593120341349,0.0044038128451509735,0.01311729045229536,0.01311729045229536,0.0,no major Phase 48 failure driver flagged,reliable_scenario_message,"Phase 49 preserves Phase 48 warning labels as conservative diagnostic screening labels; they are not calibrated probabilities, event likelihoods, or final production guarantees."
test,location1,G3531_intensity_128,measured,high-risk,high_risk_requires_review_or_supplemental_evidence,0.014358219388239358,0.005895803294455011,0.8710314882560087,0.06967368759311734,0.006491218296029082,0.013050670891452202,0.013050670891452202,0.0,high RMSE | low wet/dry IoU | elevated false-wet rate,high_risk_scenario_message,"Phase 49 preserves Phase 48 warning labels as conservative diagnostic screening labels; they are not calibrated probabilities, event likelihoods, or final production guarantees."
test,location1,r100y_p0.5_d3h,design,high-risk,high_risk_requires_review_or_supplemental_evidence,0.01367455993891208,0.006032016671573122,0.9071095707920109,0.060274218878060906,0.004914200231979158,-0.008514146602541189,0.008514146602541189,0.0,high RMSE | elevated false-wet rate,high_risk_scenario_message,"Phase 49 preserves Phase 48 warning labels as conservative diagnostic screening labels; they are not calibrated probabilities, event likelihoods, or final production guarantees."
test,location1,r100y_p0.8_d3h,design,high-risk,high_risk_requires_review_or_supplemental_evidence,0.013284833397875728,0.006140995072200894,0.9061948403716799,0.04748108445415139,0.006584698237812746,0.017286357118994105,0.017286357118994105,0.0,high RMSE | elevated false-wet rate,high_risk_scenario_message,"Phase 49 preserves Phase 48 warning labels as conservative diagnostic screening labels; they are not calibrated probabilities, event likelihoods, or final production guarantees."
test,location1,r200y_p0.5_d3h,design,high-risk,high_risk_requires_review_or_supplemental_evidence,0.012236500722517642,0.0058017340100680785,0.9183513593071949,0.05081460398468937,0.00499750197942566,-0.007976594136284907,0.007976594136284907,0.016758203506469727,high RMSE | elevated false-wet rate | peak-depth underprediction proxy,high_risk_scenario_message,"Phase 49 preserves Phase 48 warning labels as conservative diagnostic screening labels; they are not calibrated probabilities, event likelihoods, or final production guarantees."
test,location1,r200y_p0.7_d3h,design,caution,use_with_caution_and_review_diagnostics,0.011222721604274734,0.005633754539303482,0.9156570011042036,0.053376423675362925,0.004697980259504033,-0.0048732164977361775,0.0048732164977361775,0.022998809814453125,high RMSE | elevated false-wet rate | peak-depth underprediction proxy,caution_scenario_message,"Phase 49 preserves Phase 48 warning labels as conservative diagnostic screening labels; they are not calibrated probabilities, event likelihoods, or final production guarantees."
