metric_group,metric_name,region,phase25_seed42,phase27_seed42,phase29_seed42,phase38_seed42,preferred_direction,phase38_minus_phase25,phase38_minus_phase27,phase38_minus_phase29,tradeoff_flag,notes
standard,rmse,all_evaluated_cells,0.0447470026189,0.0423809813434,0.0443854521176,0.0445683014236,lower_is_better,-0.0001787011953,0.0021873200802,0.000182849306,failed_acceptance_component,Standard evaluation_test metric from fixed seed42 baseline runs.
standard,mae,all_evaluated_cells,0.0179394448274,0.0172847716236,0.0178462429168,0.0179593140063,lower_is_better,1.98691789317e-05,0.000674542382732,0.000113071089532,failed_acceptance_component,Standard evaluation_test metric from fixed seed42 baseline runs.
standard,wet_dry_iou,all_evaluated_cells,0.803877720707,0.812801373632,0.801640952888,0.806874058749,higher_is_better,0.00299633804155,-0.00592731488345,0.00523310586055,failed_acceptance_component,Standard evaluation_test metric from fixed seed42 baseline runs.
standard,rollout_stability,all_evaluated_cells,0.989504199279,0.990122296308,0.989511060087,0.989964456935,higher_is_better,0.000460257655678,-0.000157839373322,0.000453396847678,worsened_vs_phase27,Standard evaluation_test metric from fixed seed42 baseline runs.
standard,step_rmse_std,all_evaluated_cells,0.0106537425645,0.010022604691,0.010641243125,0.0101883552821,lower_is_better,-0.000465387282355,0.000165750591145,-0.000452887842855,worsened_vs_phase27,Standard evaluation_test metric from fixed seed42 baseline runs.
valid_domain_masked,rmse,valid_domain,0.0485218595133,0.0460826953285,0.048098430567,0.0482901961137,lower_is_better,-0.000231663399591,0.00220750078521,0.000191765546709,failed_acceptance_component,Phase 31 masked valid-domain diagnostic; Level 4+ proxy only.
valid_domain_masked,mae,valid_domain,0.0191194754249,0.0183692600946,0.0190492177388,0.0191286913686,lower_is_better,9.21594365063e-06,0.000759431273951,7.94736297506e-05,failed_acceptance_component,Phase 31 masked valid-domain diagnostic; Level 4+ proxy only.
valid_domain_masked,false_dry_rate,valid_domain,0.0759877543587,0.068917464101,0.0739890775888,0.0718682210394,lower_is_better,-0.00411953331934,0.00295075693836,-0.00212085654944,failed_acceptance_component,Phase 31 masked valid-domain diagnostic; Level 4+ proxy only.
valid_domain_masked,false_wet_rate,valid_domain,0.0185593790698,0.0181922750833,0.0194308140094,0.0186175912734,lower_is_better,5.82122036138e-05,0.000425316190114,-0.000813222735986,worsened_vs_phase27,Phase 31 masked valid-domain diagnostic; Level 4+ proxy only.
valid_domain_masked,absolute_relative_volume_bias_proxy,valid_domain,0.00347947154694,0.0169359188921,0.0115344360041,0.00973463387653,lower_is_better,0.00625516232959,-0.00720128501557,-0.00179980212757,improved_vs_phase27,Phase 31 masked valid-domain diagnostic; Level 4+ proxy only.
manhole_nonzero_target,false_dry_rate,manhole_nonzero_valid,0.133375526265,0.1172229713,0.131297982994,0.0757408987094,lower_is_better,-0.0576346275556,-0.0414820725906,-0.0555570842846,target_metric_improved_vs_phase27_and_phase29,Future candidate target region fixed by Phase 33 readiness review.
guardrail_masked,false_wet_rate,high_impervious_valid,0.0229872833723,0.0222046722562,0.0239893681941,0.0231264618198,lower_is_better,0.000139178447483,0.000921789563583,-0.000862906374317,failed_acceptance_component,Phase 32 guardrail metric fixed before any possible pilot.
guardrail_masked,false_dry_rate,boundary_ring,0.0990810332849,0.086764984526,0.105112739216,0.0920545695699,lower_is_better,-0.00702646371501,0.00528958504389,-0.0130581696461,failed_acceptance_component,Phase 32 guardrail metric fixed before any possible pilot.
